id,PAULOWNIA_LG0G000678,PAULOWNIA_LG0G001353,PAULOWNIA_LG0G001705,PAULOWNIA_LG0G001995,PAULOWNIA_LG10G000512,PAULOWNIA_LG10G001080,PAULOWNIA_LG11G000871,PAULOWNIA_LG11G000989,PAULOWNIA_LG12G000483,PAULOWNIA_LG13G000427,PAULOWNIA_LG14G000446,PAULOWNIA_LG16G001097,PAULOWNIA_LG16G001301,PAULOWNIA_LG16G001329,PAULOWNIA_LG18G001137,PAULOWNIA_LG1G000147,PAULOWNIA_LG1G000276,PAULOWNIA_LG1G000295,PAULOWNIA_LG2G001480,PAULOWNIA_LG5G000267,PAULOWNIA_LG5G000312,PAULOWNIA_LG5G000832,PAULOWNIA_LG5G000863,PAULOWNIA_LG5G001354,PAULOWNIA_LG6G000446,PAULOWNIA_LG6G000583,PAULOWNIA_LG8G001303,PAULOWNIA_LG8G001855,PAULOWNIA_LG9G000599,PAULOWNIA_LG9G000737
GO:0055085,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0016021,5,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,5,5,5,5,5,0,0,5,5,5,5,5
GO:0055114,0,5,5,5,5,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0016491,0,5,5,5,5,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0009535,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0010196,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0009523,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0015979,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0010027,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0006662,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0006118,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0045454,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0008152,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0
GO:0000166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
GO:0003676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0
GO:0006810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
